Country/Territory,Meningitis,Alzheimer's Disease and Other Dementias,Parkinson's Disease,Nutritional Deficiencies,Malaria,Drowning,Interpersonal Violence,Maternal Disorders,HIV/AIDS,Drug Use Disorders,Tuberculosis,Cardiovascular Diseases,Lower Respiratory Infections,Neonatal Disorders,Alcohol Use Disorders,Self-harm,Exposure to Forces of Nature,Diarrheal Diseases,Environmental Heat and Cold Exposure,Neoplasms,Conflict and Terrorism,Diabetes Mellitus,Chronic Kidney Disease,Poisonings,Protein-Energy Malnutrition,Road Injuries,Chronic Respiratory Diseases,Cirrhosis and Other Chronic Liver Diseases,Digestive Diseases,"Fire, Heat, and Hot Substances",Acute Hepatitis,Country Income Category,Current Amount of Aid Given by US ($USD),Constant Amount of Aid Given by US ($USD),Longitude,Latitude
Tajikistan,9464,14633,5266,3373,3802,21407,10262,2295,2305,504,21297,512263,142006,84172,4847,9197,2029,59440,293,112809,24266,24386,6497,2737,547,15910,47063,43133,56516,9284,3278,Low Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income Country,1319512211,1869268440,71.276093,38.861034
Tanzania,146489,66904,14391,320554,800490,35519,74764,133746,2465047,2855,638516,1155416,1209289,1122254,7020,70982,807,743870,6332,629238,700,168174,124990,27430,309857,140881,162969,215936,350358,30282,19635,Low Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income Country,7735676053,9856243651,34.888822,-6.369028
Thailand,37372,335804,69870,32140,8592,169256,216115,18063,618532,12339,310507,2572195,493505,153777,21987,248729,11807,167298,1244,2369108,7044,386466,509707,7720,28794,717057,666147,431669,707685,19719,8236,Upper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income Country,1288718354,1746833620,100.992541,15.870032
Togo,26855,7137,1965,15414,160123,5130,11226,18494,179708,281,62009,163134,132028,156118,1034,11797,72,224470,964,69820,638,18997,20165,2795,14742,35797,28843,29818,50797,3893,3519,Low Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income Country,190535496,288761719,0.824782,8.619543
Tonga,214,402,125,120,0,170,87,79,39,0,182,4613,1024,595,30,141,11,111,0,3292,0,1952,773,35,117,296,1251,560,1096,90,175,Upper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income Country,33634006,44957893,-175.198242,-21.178986
Trinidad and Tobago,660,6467,1471,954,0,1623,8197,338,8442,168,738,103599,8278,6815,670,5119,23,963,30,45289,157,40399,11237,106,887,6227,6547,4717,11578,647,87,High Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income Country,39459742,55083985,-61.222503,10.691803
Tunisia,3880,46040,9358,1057,0,6117,2721,3357,2289,2988,4740,769978,53421,79918,843,11250,95,4256,241,205035,489,32349,53081,3064,913,76230,61408,30958,49677,7278,2836,Lower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income Country,1744011048,2250957929,9.537499,33.886917
Turkey,32710,374548,71753,24559,179,29356,61032,21647,2970,5245,65510,4167835,476082,629097,5472,81642,20972,52514,1739,2154475,37414,484386,410468,15857,19318,217882,733091,179133,332311,14509,25245,Upper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income Country,5769230433,9764074505,35.243322,38.963745
Turkmenistan,2916,10266,1970,523,10,8373,5977,1710,3750,1041,16584,407256,67780,39428,5224,12098,17,13086,2686,73301,382,13395,14354,1361,245,10918,14044,45419,53782,6060,2135,Upper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income Country,331584198,496919085,59.556278,38.969719
Tuvalu,0,8,6,0,0,6,6,0,2,0,6,241,30,10,0,12,0,6,0,74,0,61,24,0,0,18,46,12,24,0,0,Upper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income Country,317478,393403,177.64933,-7.109535
Uganda,179942,34155,8228,191830,1265629,22734,50983,56671,2102167,785,491292,632868,564036,949090,5467,51079,822,495526,4228,421210,23456,106337,72223,15581,187486,135004,142817,122997,212761,17217,10912,Low Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income Country,8953908326,11551165507,32.290275,1.373333
Ukraine,17655,369800,93588,7895,0,169303,190094,3784,177144,45328,146512,13053052,236344,75146,303062,444127,316,3615,120391,3190335,9578,95725,57772,81011,3304,285347,670421,509723,786889,95015,3175,Lower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income Country,7086990719,9750621791,31.16558,48.379433
United Arab Emirates,717,1234,893,103,0,2409,1676,161,1722,9009,1477,84302,6941,2580,835,8419,0,697,159,50790,2,12647,14293,535,51,50527,18517,4704,7060,2448,727,High Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income Country,26165212,34313761,53.847818,23.424076
United Kingdom,6017,489171,114028,2876,0,5659,7808,1000,5771,41194,8051,3586645,706271,34237,27903,99902,198,28897,2998,3121237,877,110721,108025,2944,1923,60697,803244,161360,530751,8154,415,High Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income Country,41722891,60151437,-3.435973,55.378051
United States,40032,3302609,661288,133044,0,114752,596818,25206,528417,800798,38127,26438346,2248625,429516,309757,1168886,10712,199602,40402,18905315,12506,2030631,2018497,40259,121030,1359744,4949052,1514325,3026943,126712,5851,High Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income Country,0,0,-95.712891,37.09024
Uruguay,1399,33199,8336,3202,0,3362,5354,433,4365,276,2664,316537,39468,10213,2579,17501,23,3970,191,272842,3,22890,21596,570,2547,17244,55096,15006,43043,1995,68,High Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income Country,58545310,94909881,-55.765835,-32.522779
Uzbekistan,13777,35349,12721,2708,38,59243,24563,6119,11924,3344,89738,2588012,419796,205801,13262,79313,57,23724,4574,465140,853,132864,99141,9648,519,111107,131172,274903,323582,26118,9463,Lower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income Country,1117169426,1581445346,64.585262,41.377491
Vanuatu,173,310,212,328,1042,705,69,213,241,27,976,15374,2585,2163,70,1093,175,1744,27,3900,0,1942,1112,54,323,1388,3469,1017,1893,87,88,Lower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income Country,118803824,161511700,166.959158,-15.376706
Venezuela,11615,108735,18573,22554,3726,20273,266071,12739,46090,1664,23568,1158991,124366,154484,5824,57960,31025,61658,268,641727,1047,175790,161667,2607,21347,175036,122198,91720,168365,4949,1109,Upper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income Country,353481681,483169662,-66.58973,6.42375
Vietnam,38559,369363,83322,48613,17311,214356,47981,13167,148838,19959,729683,5323920,639832,449614,20059,197601,12526,109700,2967,2156232,98,544222,396874,34681,7366,594980,911787,527192,735817,17380,30650,Lower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income Country,1973607978,2510278809,108.277199,14.058324
Yemen,21095,31045,7188,68939,143463,27994,17918,53611,6276,3718,32460,1110837,259044,729558,1590,29882,1131,419051,1049,234015,95610,30812,52119,12561,66731,278327,126525,64136,111536,23871,26532,Low Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income Country,4228987198,5231053513,48.516388,15.552727
Zambia,98886,13473,4054,95913,205529,12809,30065,28395,1175563,933,275391,360770,345855,300479,2677,29216,73,348764,2451,198742,159,54098,41751,9056,92915,56976,59173,100581,147640,9476,8846,Lower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income Country,5212679239,6723243635,27.849332,-13.133897
Zimbabwe,41238,20017,5764,66723,118728,18169,32741,29802,1836042,2271,273844,408352,326145,251875,1246,51763,1247,140850,978,272787,625,71175,49952,9113,65942,67207,71774,55027,108691,14718,3778,Lower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income Country,3330810472,4393811864,29.154857,-19.015438
